bill_ID,value,kategori
1624,4,jarang
1625,2,jarang
1626,5,jarang
1627,1,jarang
1628,1,jarang
1629,2,jarang
1630,1,jarang
1631,2,jarang
1632,1,jarang
1633,1,jarang
1634,2,jarang
1635,3,jarang
1636,3,jarang
1637,1,jarang
1638,2,jarang
1639,3,jarang
1640,4,jarang
1641,1,jarang
1642,1,jarang
1643,1,jarang
1644,2,jarang
1645,2,jarang
1646,2,jarang
1647,2,jarang
1648,2,jarang
1649,6,sering
1650,4,jarang
1651,2,jarang
1652,2,jarang
1653,1,jarang
1654,1,jarang
1655,1,jarang
1656,3,jarang
1657,5,jarang
1658,2,jarang
1659,2,jarang
1660,1,jarang
1661,1,jarang
1662,1,jarang
1663,1,jarang
